,Title,Director,Release Date,Run Time,Genre,MPAA Rating,Description,IMDB Rating,Number of Votes,Metascore
0,Ekvtime: Man of God,Nikoloz Khomasuridze,(2018),132 min,"
Biography, Drama, History            ",N/A,"
    Man who was a Guardian of The National Treasure of his homeland Sakartvelo (Georgia) in France placed in 39 big boxes, did not lose any item and brought it back in 1945 after 24 years of struggle and became a national hero.",9.6,"2,595",N/A
1,Wheels,Tim Gagliardo,(II) (2014),115 min,"
Drama            ",R,"
    Two suicidal paraplegic junkies hustle their way through the city streets trying to find a reason to live.",9.3,"17,276",N/A
2,The Shawshank Redemption,Frank Darabont,(1994),142 min,"
Drama            ",R,"
    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9.3,"2,077,370",80        
3,Avengers: Endgame,Anthony Russo,(2019),181 min,"
Action, Adventure, Fantasy            ",PG-13,"
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",9.2,"50,646",78        
4,The Godfather,Francis Ford Coppola,(1972),175 min,"
Crime, Drama            ",R,"
    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",9.2,"1,425,363",100        
5,Hex,Rudolf Buitendach,(2018),85 min,"
Horror, Thriller            ",N/A,"
    A couple's holiday romance is thrown into chaos as they are afflicted by a malicious force.",9.1,"1,101",N/A
6,Frankenstein,Danny Boyle,(2011),130 min,"
Drama            ",N/A,"
    Created by Victor Frankenstein, the one known only as the creature sets out to discover the world and the meaning of life.",9.0,"1,802",N/A
7,The Dark Knight,Christopher Nolan,(2008),152 min,"
Action, Crime, Drama            ",PG-13,"
    When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,"2,042,878",84        
8,The Godfather: Part II,Francis Ford Coppola,(1974),202 min,"
Crime, Drama            ",R,"
    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9.0,"989,354",90        
9,Mudras Calling,Christina Kyi,(2018),95 min,"
Adventure, Drama, Romance            ",N/A,"
    When US-raised Jaden returns to his birthplace Myanmar, to search for his roots, he discovers a shocking truth, a new love and ultimately a possible future in his homeland.",8.9,"1,166",N/A
10,The Lord of the Rings: The Return of the King,Peter Jackson,(2003),201 min,"
Adventure, Drama, Fantasy            ",PG-13,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",8.9,"1,478,592",94        
11,Pulp Fiction,Quentin Tarantino,(1994),154 min,"
Crime, Drama            ",R,"
    The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,"1,624,445",94        
12,Schindler's List,Steven Spielberg,(1993),195 min,"
Biography, Drama, History            ",R,"
    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",8.9,"1,076,622",93        
13,Al-risâlah,Moustapha Akkad,(1976),207 min,"
Adventure, Biography, Drama            ",N/A,"
    The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""",8.9,"5,507",N/A
14,"The Good, the Bad and the Ugly",Sergio Leone,(1966),178 min,"
Western            ",R,"
    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.",8.9,"616,596",90        
15,12 Angry Men,Sidney Lumet,(1957),96 min,"
Drama            ",Not Rated,"
    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",8.9,"587,152",96        
16,Mas Que Hermanos,Arianne Benedetti,(2017),110 min,"
Drama            ",N/A,"
    Two young siblings ended up living on the streets, having nothing left but their love. It's a story about survival, second chances and second falls.",8.8,"1,180",N/A
17,An Hour to Kill,Aaron K. Carter,(2018),96 min,"
Action, Comedy, Horror            ",Not Rated,"
    Two assassins-for-hire have an hour to kill before their next hit. To help pass the time, they entertain themselves by sharing horror stories to one another. Which hit-man's story will be deemed most disturbing when all is said and done?",8.8,"2,289",N/A
18,Un lugar en el Caribe,Juan Carlos Fanconi,(2017),114 min,"
Drama, Romance            ",TV-14,"
    Romance is in the air on the picturesque Caribbean island of Roatán, but the troubled pasts of its guests threaten to tame their desires.",8.8,"1,240",N/A
19,Drishyam,Jeethu Joseph,(2013),160 min,"
Crime, Drama, Thriller            ",Not Rated,"
    A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.",8.8,"23,970",N/A
20,The Phantom of the Opera at the Royal Albert Hall,Nick Morris,(2011),137 min,"
Drama, Music, Musical            ",Not Rated,"
    A disfigured musical genius, hidden away in the Paris Opera House, terrorizes the opera company for the unwitting benefit of a young protégée whom he trains and loves.",8.8,"5,856",N/A
21,Les Misérables in Concert: The 25th Anniversary,Nick Morris,(2010),178 min,"
Drama, Music, Musical            ",Not Rated,"
    A celebratory 25th anniversary concert performance of the hit musical at The O2 in London.",8.8,"4,524",N/A
22,Inception,Christopher Nolan,(2010),148 min,"
Action, Adventure, Sci-Fi            ",PG-13,"
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",8.8,"1,821,034",74        
23,Fight Club,David Fincher,(1999),139 min,"
Drama            ",R,"
    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",8.8,"1,661,968",66        
24,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,(2001),178 min,"
Adventure, Drama, Fantasy            ",PG-13,"
    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",8.8,"1,495,121",92        
25,Forrest Gump,Robert Zemeckis,(1994),142 min,"
Drama, Romance            ",PG-13,"
    The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",8.8,"1,592,827",82        
26,Nayakan,Mani Ratnam,(1987),145 min,"
Crime, Drama            ",Not Rated,"
    A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",8.8,"13,031",N/A
27,Ayla: The Daughter of War,Can Ulkay,(2017),125 min,"
Drama, History, War            ",N/A,"
    In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »
",8.7,"26,244",N/A
